# Light Curve Summary Data from lcs
# Generated on: 2025-05-10 15:47:35
#
# Filter: sdss::g
# time	min	median	max
0.100000	-13.429000	-10.343000	-5.011000
0.300000	-15.329000	-13.946000	-12.685000
0.500000	-16.124000	-14.726000	-13.394000
0.700000	-16.397000	-14.928000	-13.263000
0.900000	-16.573000	-14.876000	-12.775000
1.100000	-16.496000	-14.678000	-12.298000
1.300000	-16.388000	-14.439000	-11.720000
1.500000	-16.214000	-14.160500	-11.212000
1.700000	-16.033000	-13.849000	-10.678000
1.900000	-15.829000	-13.594500	-10.178000
2.100000	-15.654000	-13.311000	-9.749000
2.300000	-15.395000	-12.933000	-9.225000
2.500000	-15.201000	-12.676000	-8.816000
2.700000	-14.931000	-12.426500	-8.389000
2.900000	-14.720000	-12.131500	-8.074000
3.100000	-14.530000	-11.820000	-7.666000
3.300000	-14.267000	-11.575000	-7.347000
3.500000	-13.991000	-11.360500	-6.999000
3.700000	-13.864000	-11.043500	-6.691000
3.900000	-13.591000	-10.821500	-6.357000
4.100000	-13.371000	-10.552000	-6.062000
4.300000	-13.145000	-10.381000	-5.759000
4.500000	-12.942000	-10.167500	-5.270000
4.700000	-12.776000	-9.929000	-5.151000
4.900000	-12.614000	-9.801000	-5.134000
5.100000	-12.391000	-9.609000	-5.043000
5.300000	-12.271000	-9.423000	-5.197000
5.500000	-12.032000	-9.314000	-5.032000
5.700000	-11.927000	-9.150000	-5.011000
5.900000	-11.714000	-8.992500	-5.206000
6.100000	-11.654000	-8.840000	-5.107000
6.300000	-11.462000	-8.738000	-5.039000
6.500000	-11.275000	-8.592000	-5.017000
6.700000	-11.166000	-8.453000	-5.205000
6.900000	-11.026000	-8.314000	-5.040000
7.100000	-10.900000	-8.168000	-5.042000
7.300000	-10.763000	-8.174500	-5.020000
7.500000	-10.665000	-8.058000	-5.020000
7.700000	-10.500000	-7.920000	-5.135000
7.900000	-10.399000	-7.800000	-5.047000
8.100000	-10.282000	-7.684000	-5.044000
8.300000	-10.208000	-7.684000	-5.053000
8.500000	-10.215000	-7.553500	-5.009000
8.700000	-10.008000	-7.464000	-5.025000
8.900000	-9.843000	-7.389000	-5.021000
9.100000	-9.646000	-7.363000	-5.001000
9.300000	-9.761000	-7.393000	-5.029500
9.500000	-9.477000	-7.357500	-5.010000
9.700000	-9.365000	-7.341000	-5.015000
9.900000	-9.296000	-7.319000	-5.003000
#
# Filter: sdss::i
# time	min	median	max
0.100000	-13.745000	-9.991000	-5.011000
0.300000	-15.505000	-14.230500	-12.600000
0.500000	-16.492000	-15.170500	-14.194000
0.700000	-17.060000	-15.464500	-14.460000
0.900000	-17.295000	-15.569500	-14.309000
1.100000	-17.430000	-15.503500	-14.150000
1.300000	-17.423000	-15.438000	-13.892000
1.500000	-17.357000	-15.297500	-13.610000
1.700000	-17.316000	-15.160000	-13.354000
1.900000	-17.199000	-15.027000	-13.040000
2.100000	-17.014000	-14.859000	-12.861000
2.300000	-16.907000	-14.703500	-12.550000
2.500000	-16.781000	-14.508500	-12.287000
2.700000	-16.632000	-14.330500	-11.952000
2.900000	-16.571000	-14.146000	-11.785000
3.100000	-16.424000	-13.960000	-11.479000
3.300000	-16.241000	-13.791500	-11.272000
3.500000	-16.050000	-13.603000	-11.044000
3.700000	-15.966000	-13.456000	-10.809000
3.900000	-15.755000	-13.257500	-10.544000
4.100000	-15.660000	-13.062000	-10.380000
4.300000	-15.439000	-12.887000	-10.186000
4.500000	-15.362000	-12.719500	-9.848000
4.700000	-15.177000	-12.568500	-9.684000
4.900000	-15.116000	-12.414500	-9.455000
5.100000	-15.006000	-12.254000	-9.338000
5.300000	-14.848000	-12.095500	-9.131000
5.500000	-14.775000	-11.942500	-8.947000
5.700000	-14.674000	-11.802500	-8.796000
5.900000	-14.526000	-11.670000	-8.631000
6.100000	-14.458000	-11.515500	-8.512000
6.300000	-14.322000	-11.374000	-8.390000
6.500000	-14.226000	-11.232000	-8.202000
6.700000	-14.103000	-11.068000	-8.055000
6.900000	-14.004000	-10.982000	-7.930000
7.100000	-13.910000	-10.850000	-7.776000
7.300000	-13.846000	-10.709000	-7.624000
7.500000	-13.747000	-10.580000	-7.495000
7.700000	-13.674000	-10.450500	-7.412000
7.900000	-13.588000	-10.341000	-7.155000
8.100000	-13.527000	-10.224000	-7.107000
8.300000	-13.396000	-10.107000	-7.027000
8.500000	-13.358000	-9.970000	-6.763000
8.700000	-13.304000	-9.838000	-6.834000
8.900000	-13.172000	-9.779000	-6.552000
9.100000	-13.110000	-9.667500	-6.275000
9.300000	-13.083000	-9.516500	-6.317000
9.500000	-12.967000	-9.480500	-6.152000
9.700000	-12.884000	-9.372500	-6.150000
9.900000	-12.854000	-9.222000	-5.955000
#
# Filter: sdss::r
# time	min	median	max
0.100000	-13.805000	-10.570000	-5.094000
0.300000	-15.754000	-14.298500	-12.449000
0.500000	-16.784000	-15.136000	-13.759000
0.700000	-17.181000	-15.396000	-14.089000
0.900000	-17.346000	-15.442500	-13.916000
1.100000	-17.382000	-15.351500	-13.626000
1.300000	-17.307000	-15.201000	-13.242000
1.500000	-17.278000	-14.998000	-12.921000
1.700000	-17.096000	-14.797500	-12.546000
1.900000	-16.986000	-14.601500	-12.243000
2.100000	-16.814000	-14.386500	-11.818000
2.300000	-16.623000	-14.141000	-11.508000
2.500000	-16.480000	-13.907000	-11.183000
2.700000	-16.306000	-13.692000	-10.818000
2.900000	-16.149000	-13.486000	-10.483000
3.100000	-15.951000	-13.251000	-10.138000
3.300000	-15.747000	-13.023500	-9.882000
3.500000	-15.591000	-12.797500	-9.599000
3.700000	-15.467000	-12.611500	-9.136000
3.900000	-15.321000	-12.400000	-8.940000
4.100000	-15.102000	-12.248500	-8.714000
4.300000	-14.919000	-11.988500	-8.508000
4.500000	-14.762000	-11.777500	-8.189000
4.700000	-14.636000	-11.592000	-8.015000
4.900000	-14.450000	-11.396000	-7.807000
5.100000	-14.342000	-11.179500	-7.469000
5.300000	-14.168000	-11.015500	-7.200000
5.500000	-14.093000	-10.935500	-7.060000
5.700000	-13.956000	-10.751500	-6.828000
5.900000	-13.783000	-10.545500	-6.600000
6.100000	-13.703000	-10.413000	-6.458000
6.300000	-13.526000	-10.284500	-6.310000
6.500000	-13.454000	-10.161000	-6.080000
6.700000	-13.416000	-9.976500	-6.071000
6.900000	-13.255000	-9.884500	-5.698000
7.100000	-13.088000	-9.702500	-5.699000
7.300000	-13.058000	-9.586500	-5.544000
7.500000	-12.867000	-9.505000	-5.151000
7.700000	-12.782000	-9.392000	-5.184000
7.900000	-12.685000	-9.237000	-5.176000
8.100000	-12.681000	-9.124000	-5.005000
8.300000	-12.594000	-9.090000	-5.017000
8.500000	-12.535000	-8.957500	-5.048000
8.700000	-12.408000	-8.854000	-5.005000
8.900000	-12.271000	-8.818000	-5.014000
9.100000	-12.215000	-8.681000	-5.013000
9.300000	-12.047000	-8.636000	-5.033000
9.500000	-12.010000	-8.468000	-5.009000
9.700000	-11.942000	-8.422500	-5.021000
9.900000	-11.861000	-8.402500	-5.017000
#
