2025-06-13 09:00:00 - 10:00:00
"objid","name_prefix","name","ra","declination","redshift","typeid","type","reporting_groupid","reporting_group","source_groupid","source_group","discoverydate","discoverymag","discmagfilter","filter","reporters","time_received","internal_names","Discovery_ADS_bibcode","Class_ADS_bibcodes","creationdate","lastmodified"
"181480","AT","2025nkw","188.295627143","48.0459242857","","","","18","ATLAS","18","ATLAS","2025-06-13 07:05:08.736","18.832","72","orange","J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)","2025-06-13 09:54:13","ATLAS25gcc","","","2025-06-13 09:54:15","2025-06-13 09:54:15"
"181479","AT","2025nkv","209.2947501","11.5994527","","","","48","ZTF","48","ZTF","2025-06-09 05:22:48.996","19.9156","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:22:58","ZTF25aauuxeu","","","2025-06-13 09:23:01","2025-06-13 09:23:01"
"181478","AT","2025nku","188.2620057","16.3767234","","","","48","ZTF","48","ZTF","2025-05-23 05:37:47.997","21.1086","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:22:45","ZTF25aauuxsg","","","2025-06-13 09:22:47","2025-06-13 09:22:47"
"181477","AT","2025nkt","177.8653954","32.5894134","","","","48","ZTF","48","ZTF","2025-05-29 06:22:43.003","21.1532","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:22:37","ZTF25aauuzhq","","","2025-06-13 09:22:39","2025-06-13 09:22:39"
"181476","AT","2025nks","184.4697259","32.8075288","","","","48","ZTF","48","ZTF","2025-06-05 05:10:47.003","19.9464","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:22:29","ZTF25aauuzic","","","2025-06-13 09:22:32","2025-06-13 09:22:32"
"181475","AT","2025nkr","189.9298636","53.5548878","","","","48","ZTF","48","ZTF","2025-06-05 05:16:53.002","20.4507","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:22:19","ZTF25aauvayv","","","2025-06-13 09:22:21","2025-06-13 09:22:21"
"181474","AT","2025nkq","177.5254809","26.5892835","","","","48","ZTF","48","ZTF","2025-05-28 06:09:39.000","20.53","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:21:56","ZTF25aauvgsb","","","2025-06-13 09:21:59","2025-06-13 09:21:59"
"181473","AT","2025nkp","201.8151143","25.8986805","","","","48","ZTF","48","ZTF","2025-06-13 04:42:10.995","20.0454","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:21:53","ZTF25aauummm","","","2025-06-13 09:21:56","2025-06-13 09:21:56"
"181472","AT","2025nko","195.270959","-11.5386266","","","","48","ZTF","48","ZTF","2025-06-13 05:35:25.998","19.3416","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:21:50","ZTF25aaumtdt","","","2025-06-13 09:21:53","2025-06-13 09:21:53"
"181471","AT","2025nkn","218.3782202","70.9871913","","","","48","ZTF","48","ZTF","2025-06-02 07:39:48.003","20.2572","110","g","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:21:44","ZTF25aauvnec","","","2025-06-13 09:21:46","2025-06-13 09:21:46"
"181470","AT","2025nkm","211.1131843","61.3795856","","","","48","ZTF","48","ZTF","2025-06-09 06:40:51.997","19.9778","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:20:23","ZTF25aauviwq","","","2025-06-13 09:21:42","2025-06-13 09:21:42"
"181469","AT","2025nkl","276.0699824","34.7463862","","","","48","ZTF","48","ZTF","2025-06-07 09:06:26.000","20.709","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:19:48","ZTF25aauvsif","","","2025-06-13 09:19:51","2025-06-13 09:19:51"
"181468","AT","2025nkk","245.8553558","24.3158366","","","","48","ZTF","48","ZTF","2025-06-10 07:41:40.004","20.2208","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:19:35","ZTF25aaurnig","","","2025-06-13 09:19:38","2025-06-13 09:19:38"
"181467","AT","2025nkj","221.950877","27.6369525","","","","48","ZTF","48","ZTF","2025-06-12 07:24:57.003","19.6881","111","r","Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF","2025-06-13 09:19:28","ZTF25aaurplb","","","2025-06-13 09:19:30","2025-06-13 09:19:30"
